Delivery_Contractor,Property_ID,Postcode_1,Participant_Age,EmployStatus,EmployType,HouseIncome,Date_Contact,Tenure,Tenure_Length,Social_Group,HP_Awareness,Reason_Sustainability,Sustainability_exp,Reason_Future,Future_exp,Reason_Upgrade,Upgrade_exp,Reason_Building,Building_exp,Reason_Financial,Financial_exp,Reason_Technology,Technology_exp,Reason_Research,Research_exp,Reason_Planned,Planned_exp,Reason_Replacement,Replacement_exp,Reason_Other,Other_exp,Date_Survey,Name_Survey,House_Type,House_Form_x,House_Env,House_Age_x,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp_x,MCS_SCOP_x,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,HP_NoRec_R1,HP_NoRec_R2,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,Part_No_Reason1,Part_No_Reason2,Date_Installation,Name_Install,HP_Installed_x,HP_Installed_Detail,HP_Brand_x,HP_Model_x,HP_Size_kW_x,HP_Refrigerant_x,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures,Comment,Included_SPF_analysis,Excluded_SPF_analysis_reason,Postcode,House_Form_y,House_Age_y,HP_Installed_y,HP_Brand_y,HP_Model_y,HP_Size_kW_y,HP_Refrigerant_y,Whole_dataset_start,Whole_dataset_end,Whole_dataset_duration_days,Cleansed_dataset_start,Cleansed_dataset_end,Cleansed_dataset_duration_days,Selected_window_start,Selected_window_end,Max_quality_score_selected_window,Mean_quality_score_selected_window,SPFH2_selected_window,SPFH3_selected_window,SPFH4_selected_window,Whole_System_Energy_Consumed_selected_window,HP_Energy_Output_selected_window,IH_Energy_Consumed_selected_window,BUH_Energy_Consumed_selected_window,CP_Energy_Consumed_selected_window,Boiler_Energy_Output_selected_window,Difference_SPFH2_SCOP,Proportional_difference_SPFH2_SCOP,Ratio_SPFH2_SCOP,Mean_annual_SH_flow_temp_selected_window,Mean_annual_HW_flow_temp_selected_window,Mean_annual_Return_temp_selected_window,Winter_mean_SH_flow_temp_selected_window,Winter_mean_return_temp_selected_window,Max_SH_flow_temp_selected_window,Flow_>65C_flag_selected_window,Proportion_flow_>65C_selected_window,Temp_cleaning_outcome,SW_proportion_complete_Whole_System_Energy_Consumed,SW_proportion_complete_HP_Energy_Output,SW_proportion_complete_IH_Energy_Consumed,SW_proportion_complete_BUH_Energy_Consumed,SW_proportion_complete_CP_Energy_Consumed,SW_proportion_complete_Boiler_Energy_Output,Acceptable_windows_count,Acceptable_windows_SPFH2_mean,Acceptable_windows_SPFH2_std,Acceptable_windows_SPFH2_median,Acceptable_windows_SPFH3_mean,Acceptable_windows_SPFH3_std,Acceptable_windows_SPFH3_median,Acceptable_windows_SPFH4_mean,Acceptable_windows_SPFH4_std,Acceptable_windows_SPFH4_median,MCS_Flow_Temp_y,MCS_SCOP_y,Included_coldest_day_analysis,Coldest_day_start,Coldest_day_COPH4,Coldest_day_External_Air_Temp_mean,Coldest_day_External_Air_Temp_max,Coldest_day_External_Air_Temp_min,Coldest_day_Internal_Air_Temp_mean,Coldest_day_Internal_Air_Temp_max,Coldest_day_Internal_Air_Temp_min,Coldest_day_Whole_System_Energy_Consumed,Coldest_day_HP_Energy_Output,Coldest_day_IH_Energy_Consumed,Coldest_day_BUH_Energy_Consumed,Coldest_day_CP_Energy_Consumed,Coldest_day_Boiler_Energy_Output,CD_proportion_complete_Whole_System_Energy_Consumed,CD_proportion_complete_HP_Energy_Output,CD_proportion_complete_IH_Energy_Consumed,CD_proportion_complete_BUH_Energy_Consumed,CD_proportion_complete_CP_Energy_Consumed,CD_proportion_complete_Boiler_Energy_Output
OVO,EOH2035,KT18,74.0,Retired,Pensioner,Prefer not to say,2021-06-09T00:00:00.000Z,Rented (Social),11.0,DE,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,14/03/2021,Retrofitworks,Flat,Flat,Urban,1991-2000,C,1.0,0.0,1.0,48.0,2.0,1.0,3.0,2.38,Cavity_Insulated,Suspended,Pitched,Double,No,Electricity,Electric - Storage,Electric - Storage,Water,100,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.3,36.0,4564.0,1798.0,0.0,,,No,Yes with additional measures,No,No,GSHP,,,Heat Emitters,15920.96,3887.25,320.96,17.0,,Yes,,,31/07/2021,Kensa,GSHP,Shared_Groundloop,Kensa,S6-P0K,3.0,R134a,,PCM_New,,10.5,1.0,0.0,5.0,0.0,,,No,0.0,0.0,0.0,No,No,0.0,0.0,,No,2907.89,1982.51,8530.78,3887.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,True,,KT18,Flat,1991-2000,GSHP,Kensa,S6-P0K,3.0,R134a,2021-07-30T15:28:00.000Z,2022-10-20T08:12:00.000Z,446.7,2021-08-08T00:00:00.000Z,2022-10-20T08:10:00.000Z,438.34,2021-10-19T00:00:00.000Z,2022-10-19T00:00:00.000Z,2.0,0.006,2.683,2.622,2.542,1499.58,3758.16,53.09,0.0,45.83,,,,,46.64,57.37,42.29,53.52,49.81,68.58,True,0.01635,cleaned,0.992,0.992,0.992,,0.992,,73.0,2.575,0.084,2.577,2.518,0.081,2.519,2.439,0.079,2.441,,,False,2021-11-29T00:00:00.000Z,2.884,0.03,4.89,-2.5,24.27,26.11,22.9,9.24,26.5,0.14,0.0,0.37,,1.0,1.0,1.0,,1.0,
E.ON,EOH2036,NE13,32.0,Working Full time (>30hrs),Professional,"30,001 - 40,000",2021-01-11T00:00:00.000Z,Owner-Occupied,2.0,C1,5.0,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,20/01/2021,Phoenix,House,Detached,Urban,2012 onwards,C,2.0,1.0,2.0,90.0,5.0,3.0,9.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,1354.0,,6.47,71.91,15674.9,4994.0,181.0,45.0,3.91,No,No,Yes,No,HT_ASHP,,,None Required,16826.45,,940.0,14.3,3.8,Yes,,,20/09/2021,Energist,HT_ASHP,,Vaillant,VWL 75/6 A 230V S2,7.0,R290,,Water_new,150.0,,1.0,8.0,0.0,0.0,,,No,0.0,0.0,0.0,No,No,0.0,0.0,,no,5789.0,1701.71,,2500.86,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,True,,NE13,Detached,2012 onwards,HT_ASHP,Vaillant,VWL 75/6 A 230V S2,7.0,R290,2021-11-16T14:16:00.000Z,2023-07-27T17:22:00.000Z,618.13,2022-02-03T00:00:00.000Z,2023-07-27T17:20:00.000Z,539.72,2022-06-20T00:00:00.000Z,2023-06-20T00:00:00.000Z,2.0,0.05,2.496,2.496,2.478,2751.13,6818.26,0.0,0.0,19.44,,-1.414,-36.16,1.57,45.04,45.93,42.48,45.5,42.74,54.87,False,0.0,cleaned,0.969,0.969,,,0.969,,143.0,2.489,0.009,2.488,2.489,0.009,2.488,2.471,0.009,2.47,45.0,3.91,True,2022-12-13T00:00:00.000Z,2.089,-5.52,-2.97,-7.94,20.41,22.7,19.43,20.2,42.21,0.0,0.0,0.15,,1.0,1.0,,,1.0,
E.ON,EOH2037,NE13,58.0,Retired,Pensioner,"12,501 - 16,200",2020-11-23T00:00:00.000Z,Owner-Occupied,28.0,DE,2.0,NO,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,YES,wants to find out more,11/12/2020,Phoenix,House,Semi-Detached,Urban,1983 - 1990,,2.0,0.0,2.0,110.0,5.0,3.0,7.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Electric,,,0.0,0.0,0.0,No,No,4289.0,15865.0,,,,,,,,Yes,No,Yes,Yes,None - Installation not recommended,Practical_Noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH2038,EH45,58.0,Working Part time,Professional,"40,001 - 50,000",2020-07-09T00:00:00.000Z,Owner-Occupied,21.0,C1,2.0,Yes,,No,,Yes,,No,,No,,No,,Yes,,No,,No,,No,,19/05/2021,Warmworks,House,Detached,Suburban,2001+,C,3.0,0.0,2.0,137.02,8.0,4.0,8.0,2.27,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Standard,Fire - Gas,Water,Large (> 170l),0.0,1.0,1.0,No,No,,,8.9,63.0,21964.0,4775.0,0.0,50.0,3.51,Yes,No,Yes,Yes,HT_ASHP,,,,,,996.0,18.0,5.0,Yes,,,06/09/2021,Everwarm,ASHP,,Mitsubishi,PUZ-HWM140VHA,14.0,R32,0.0,Water_New,200.0,,1.0,,14.0,0.0,,Low Noise Heat Pump,No,0.0,0.0,0.0,No,No,0.0,0.0,,No,17943.14,3572.21,1610.23,3788.06,,,,,,,3.0,0.0,,True,,EH45,Detached,2001+,ASHP,Mitsubishi,PUZ-HWM140VHA,14.0,R32,2021-09-17T08:48:00.000Z,2023-09-28T23:58:00.000Z,741.63,2021-09-17T08:50:00.000Z,2023-09-28T23:56:00.000Z,741.63,2022-05-03T00:00:00.000Z,2023-05-03T00:00:00.000Z,1.0,0.006,2.989,2.936,2.786,5001.9,13807.77,126.25,0.0,256.09,,-0.521,-14.84,1.17,41.89,43.26,38.14,42.44,38.47,61.33,False,0.0,cleaned,0.993,0.993,0.993,,0.993,,166.0,2.988,0.002,2.987,2.936,0.003,2.936,2.785,0.002,2.785,50.0,3.51,True,2022-12-13T00:00:00.000Z,1.846,-6.42,-2.6,-8.37,15.87,17.72,13.58,78.74,145.33,0.0,0.0,1.75,,1.0,1.0,1.0,,1.0,
OVO,EOH2039,ME16,40.0,Working Full time (>30hrs),Professional,"50,001+",2021-01-31T00:00:00.000Z,Owner-Occupied,,C1,3.0,Yes,the less carbon emission the better.,Yes,,Yes,,Yes,,Yes,i was interested and in the governments green homes grant,Yes,,Yes,,Yes,,No,,No,,22/03/2021,Retrofitworks,House,Mid-Terrace,Suburban,1965-1980,,2.0,2.0,2.0,94.0,6.0,3.0,6.0,2.35,Solid_No_insulation,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,0.0,No,No,,,7.76,83.28,13585.0,3821.0,136.0,,,No,No,No,Yes,Hybrid,,,,13119.86,0.0,755.98,15.0,5.0,Yes,,,21/04/2021,Ecolution Group,Hybrid,Separate_New Boiler,Daikin,EHYBH08AV32,8.0,R410A,,,,,1.0,0.0,0.0,0.0,,,No,0.0,0.0,0.0,No,No,0.0,0.0,,No,5949.49,1648.37,3288.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,False,Quality score outside threshold,ME16,Mid-Terrace,1965-1980,Hybrid,Daikin,EHYBH08AV32,8.0,R410A,2022-03-01T15:48:00.000Z,2023-09-28T23:58:00.000Z,576.34,2022-03-01T15:48:00.000Z,2023-09-28T23:56:00.000Z,576.34,2022-07-18T00:00:00.000Z,2023-07-18T00:00:00.000Z,4.0,0.524,3.581,3.581,3.581,1886.84,6757.67,0.0,0.0,0.0,2307.22,,,,37.48,37.48,32.67,37.74,33.18,52.34,False,0.0,cleaned,0.93,0.93,,,0.93,0.781,0.0,,,,,,,,,,,,False,2022-12-15T00:00:00.000Z,6.06,-2.04,1.2,-4.58,21.31,22.55,20.21,5.84,35.38,0.0,0.0,0.0,50.27,1.0,1.0,,,1.0,0.597
OVO,EOH2040,GU47,46.0,Working Full time (>30hrs),Manager,"50,001+",2020-09-18T00:00:00.000Z,Owner-Occupied,6.0,AB,1.0,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,My sister works for Falmouth Uni in green energy lecturing and research and recommended this as a way to reduce our environmental impact and  to move to a greener/renewable heating system,No,,Yes,,No,,22/09/2020,Retrofitworks,House,Detached,Suburban,1981-1990,,2.0,0.0,2.0,76.0,6.0,3.0,6.0,,,,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,None - Installation not recommended,Participant_Suitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH2041,DH8,,Working Full time (>30hrs),Manager,Prefer not to say,2021-02-25T00:00:00.000Z,Owner-Occupied,13.0,AB,5.0,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH2042,NE13,51.0,Working Full time (>30hrs),Clerical,"20,001 - 25,000",2021-02-18T00:00:00.000Z,Owner-Occupied,8.0,C1,1.0,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,25/02/2021,Phoenix,House,Semi-Detached,Urban,2012 onwards,B,3.0,0.0,3.0,118.0,5.0,4.0,9.0,2.3,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Standard,,Water,160,0.0,0.0,1.0,No,No,,,,,,,,,,No,No,No,No,None - Installation not recommended,Practical_Noise,Practical_Reinforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH2043,TN2,44.0,Working Full time (>30hrs),Professional,"50,001+",2020-07-02T00:00:00.000Z,Owner-Occupied,5.0,AB,3.0,Yes,I would love to reduce my carbon footprint and would love to pursue any options further.,Yes,,No,,No,,Yes,,Yes,,Yes,,No,,No,,No,,24/11/2020,Retrofitworks,House,Detached,Suburban,1919-1944,,2.0,3.0,2.0,260.93,8.0,5.0,8.0,2.43,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Standard,Electric - Warm air,Water,170,1.0,0.0,0.0,Yes - Ground Loop,Yes,,,,,,,,,,,,,,,,,,,,,,,No,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH2044,SO52,78.0,Retired,Pensioner,Prefer not to say,2020-12-14T00:00:00.000Z,Owner-Occupied,48.0,DE,4.0,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH2045,NE5,44.0,Working Full time (>30hrs),Supervisor,"50,001+",2021-01-15T00:00:00.000Z,Owner-Occupied,9.0,C1,1.0,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,04/02/2021,Phoenix,House,Detached,Urban,1983 - 1990,C,2.0,2.0,2.0,110.0,5.0,3.0,9.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,0.0,No,No,3100.0,12000.0,7.2489,65.89,17560.6,4002.0,0.0,,,No,No,No,Yes with additional measures,Hybrid,,,Loft Insulation,10615.05,500.0,840.0,14.3,3.8,Yes,,,31/03/2021,Phoenix,Hybrid,Separate_New Boiler,Daikin,EHY2KOMB28AA,4.0,R32,,,,,1.0,10.0,0.0,0.0,none,none,No,0.0,0.0,0.0,No,Yes,0.0,0.0,,no,5739.82,,,3240.0,0.0,500.0,0.0,0.0,0.0,0.0,3.0,0.5,,True,,NE5,Detached,1983 - 1990,Hybrid,Daikin,EHY2KOMB28AA,4.0,R32,2021-03-30T14:26:00.000Z,2023-09-25T10:18:00.000Z,908.83,2021-03-30T14:28:00.000Z,2023-09-25T10:16:00.000Z,908.83,2022-07-17T00:00:00.000Z,2023-07-17T00:00:00.000Z,3.3,0.831,2.054,2.054,1.806,1155.57,2087.16,0.0,0.0,139.57,6417.98,,,,40.11,40.11,37.23,41.51,39.26,57.28,False,0.0,cleaned,0.999,0.999,,,0.999,0.999,502.0,1.987,0.046,1.965,1.987,0.046,1.965,1.757,0.037,1.755,,,False,2022-12-13T00:00:00.000Z,0.171,-5.52,-2.97,-7.94,,,,3.33,0.57,0.0,0.0,1.44,103.92,1.0,1.0,,,1.0,1.0
E.ON,EOH2046,NE4,31.0,Working Full time (>30hrs),Professional,"50,001+",2021-02-05T00:00:00.000Z,Owner-Occupied,6.0,C1,5.0,NO,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,18/02/2021,Phoenix,House,Semi-Detached,Urban,1930 - 1949,,2.0,2.0,2.0,118.0,5.0,3.0,6.0,2.6,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Gas,,,1.0,1.0,1.0,No,No,,,,,,,,,,Yes,No,Yes,Yes,,,,,,,,,,No,Practical_DisruptionWorks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH2047,DA11,39.0,Working Full time (>30hrs),Professional,"50,001+",2021-02-09T00:00:00.000Z,Owner-Occupied,4.0,AB,3.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH2048,NE3,74.0,Retired,Pensioner,"25,001 - 30,000",2020-09-14T00:00:00.000Z,Owner-Occupied,37.0,DE,4.0,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,28/09/2020,Phoenix,House,Mid-Terrace,Urban,1950 - 1966,,2.0,0.0,2.0,111.0,6.0,5.0,13.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,1418.0,10119.0,8.209,83.52,8571.0,5731.0,0.0,,,No,No,No,Yes,Hybrid,,,None Required,10245.84,0.0,995.0,14.3,3.8,No,Practical_SpaceExternal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH2049,NE5,61.0,Retired,Pensioner,"30,001 - 40,000",2020-07-08T00:00:00.000Z,Owner-Occupied,34.0,DE,2.0,YES,,NO,,YES,,NO,,YES,,NO,,NO,,NO,,NO,,NO,,14/07/2020,Pacifica,House,Semi-Detached,Urban,1950 - 1966,,2.0,2.0,2.0,78.23,7.0,3.0,9.0,2.2,Cavity_No_insulation,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,Yes - Ground Loop,No,,,7.527,96.0,18238.0,4122.0,607.0,46.0,3.38,Yes,No,Yes,Yes,ASHP,,,None Required,12270.81,,980.0,14.3,3.8,Yes,,,09/12/2020,Aaron Services,ASHP,,Daikin,EDLQ011CAV3,11.0,R410A,,Water_new,200.0,,1.0,7.0,3.0,1.0,none,none,No,0.0,0.0,0.0,Yes,No,0.0,0.0,,no,5972.51,1752.34,,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,,True,,NE5,Semi-Detached,1950 - 1966,ASHP,Daikin,EDLQ011CAV3,11.0,R410A,2020-12-09T16:34:00.000Z,2023-07-21T18:16:00.000Z,954.07,2020-12-09T16:36:00.000Z,2023-07-21T18:14:00.000Z,954.07,2021-07-30T00:00:00.000Z,2022-07-30T00:00:00.000Z,2.0,0.0,2.385,2.337,2.165,5082.02,10840.3,163.19,0.0,373.48,,-0.995,-29.44,1.42,36.31,38.8,32.34,37.91,33.91,57.91,False,0.0,cleaned,0.999,0.999,0.999,,0.999,,492.0,2.517,0.152,2.462,2.399,0.145,2.384,2.231,0.148,2.213,46.0,3.38,True,2022-12-13T00:00:00.000Z,1.834,-5.52,-2.97,-7.94,,,,57.81,100.0,6.01,0.0,2.26,,1.0,1.0,1.0,,1.0,
E.ON,EOH2050,NE5,51.0,Working Full time (>30hrs),Manager,"50,001+",2020-07-13T00:00:00.000Z,Owner-Occupied,19.0,AB,3.0,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,NO,,06/08/2020,E.ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH2051,NE13,31.0,Working Full time (>30hrs),Manager,"50,001+",2020-08-21T00:00:00.000Z,Owner-Occupied,1.0,AB,3.0,NO,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH2052,EH4,79.0,Retired,Pensioner,"20,001 - 25,000",2020-09-23T00:00:00.000Z,Owner-Occupied,50.0,DE,3.0,Yes,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,21/10/2020,Warmworks,House,Semi-Detached,Suburban,1945-1964,C,2.0,1.0,3.0,167.7,6.0,4.0,6.0,,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,Yes - Borehole,Yes,3829.0,10837.0,7.1,60.3,17655.0,4495.0,0.0,45.0,3.91,Yes,Yes,Yes,Yes,GSHP,,,,,,1236.0,16.36,4.17,Yes,,,20/08/2021,mcinnesplumbing,HT_ASHP,,Vaillant,VWL 75/6 A 230V S2,7.0,R290,0.0,Water_New,200.0,,1.0,,9.0,0.0,,Low Noise Heat Pump,No,0.0,0.0,0.0,Yes,No,0.0,0.0,,No,11215.17,3572.21,1610.23,2435.18,,,,,,,2.0,0.0,,True,,EH4,Semi-Detached,1945-1964,HT_ASHP,Vaillant,VWL 75/6 A 230V S2,7.0,R290,2021-08-20T18:44:00.000Z,2023-09-29T00:00:00.000Z,769.22,2021-08-20T18:46:00.000Z,2023-09-28T23:58:00.000Z,769.22,2022-02-21T00:00:00.000Z,2023-02-21T00:00:00.000Z,3.0,0.624,2.781,2.781,2.67,2473.25,6603.51,0.0,0.0,98.54,,-1.129,-28.88,1.41,38.61,40.79,34.84,37.07,33.94,64.85,False,0.0,cleaned,0.791,0.791,,,0.791,,232.0,2.769,0.057,2.721,2.769,0.057,2.721,2.656,0.051,2.612,45.0,3.91,True,2021-11-28T00:00:00.000Z,1.325,0.35,3.2,-2.78,18.01,18.19,17.66,27.75,36.77,0.0,0.0,1.15,,1.0,1.0,,,1.0,
OVO,EOH2053,TN3,56.0,Working Full time (>30hrs),Manager,Prefer not to say,2020-12-10T00:00:00.000Z,Owner-Occupied,25.0,C1,3.0,Yes,,Yes,,Yes,already mentioned above,No,not currently undertaking major work but open to suggestions on associated and/or recommended improvements,Yes,,Yes,always keen on new tech,Yes,,Yes,,Yes,,No,,17/04/2021,Retrofitworks,House,Detached,Suburban,1919-1944,,5.0,0.0,2.0,150.0,6.0,4.0,6.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,,Water,170,4.0,0.0,0.0,Yes - Ground Loop,No,,,,,,,,,,,,,,None - Installation not recommended,Programme_TargetMet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH2054,NE6,53.0,Working Full time (>30hrs),Professional,"30,001 - 40,000",2020-08-19T00:00:00.000Z,Owner-Occupied,22.0,AB,4.0,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,14/10/2020,Phoenix,House,Semi-Detached,Urban,1900 - 1929,,2.0,2.0,3.0,205.0,7.0,5.0,14.0,2.7,Solid_No_insulation,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Gas,,,0.0,1.0,1.0,No,No,3096.0,4656.0,,,,,,,,No,No,No,No,None - Installation not recommended,Technical_Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH2055,NE5,73.0,Unemployed,Pensioner,Prefer not to say,2020-07-30T00:00:00.000Z,Owner-Occupied,26.0,DE,1.0,NO,,NO,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
